"","Sample.1.NI.Sample1","Sample.2.NI.Sample1","Sample.3.d3.pi.Sample1","Sample.4.d3.pi.Sample1","Sample.5.ECM.Sample1","Sample.6.ECM.Sample1","Sample 1
ECM
Sample2","Sample 2
ECM
Sample2","Sample 3
NI
Sample2","Sample 4
NI
Sample2","Sample 5
d3 pi
Sample2","Sample 6
d3 pi
Sample2"
"A2A8L1",0.0300229731777857,0.255059324648996,0.105955151388235,-0.0456448784164758,-0.110046887866161,-0.235345682932379,0.396041204413904,-3.63149010890695,0.960441850711506,0.816278178312071,0.933975580865027,0.524753294604441
"A2AQ07, P68372, P99024, Q7TMM9, Q922F4, Q9CWF2, Q9D6F9, Q9ERD7",-0.17591616533814,-0.249752632459721,-0.211481514704541,-0.0983056248579746,0.285241249158104,0.450214688202273,-0.0741340293629538,0.887562424511041,-0.481753223846527,0.174176531752613,-0.435210135094501,-0.0706415679596741
"A2BIM8, B5X0G2, P02762, P04938",0.0223185691755776,-0.195930817438093,-0.192662844937339,-0.166053837506933,0.368278258211194,0.164050672495594,0.0668745270375832,-0.0204116323305041,0.285259943175639,-0.53340517499878,0.214600295783487,-0.0129179586674262
"A2BIM8, B5X0G2, P02762, P04938, P04939, P11589",-0.243199908946368,0.0376581884439613,-0.251571505172187,0.13685808353125,0.106329658013623,0.21392548412972,-0.576792404392425,0.745219222606379,-0.0589637276365984,-0.113432864042912,-0.0943985253361341,0.0983682988016898
"A2BIM8, B5X0G2, P02762, P04938, P11588",0.739939842517228,0.421966405159399,0.0771139825161886,0.616291906176924,-0.546514370365513,-1.30879776600423,-1.18079600804569,-0.647811395175129,1.25549027649528,-0.0350591628846662,-0.616863113367947,1.22503940297816
"A2BIM8, B5X0G2, P02762, P04938, P11588, P11589",0.220059467321438,0.17026995073299,0.0341801432272915,0.254344143899255,-0.340806678090926,-0.33804702709005,-0.871579986090161,0.232873224227064,0.82218124963706,-0.0414826443446099,-0.510984094939187,0.368992251509835
"A2BIM8, B5X0G2, P02762, P04938, P11588, P11589, P11591",0.223218170951558,0.391401229145738,0.129083112829921,0.510612670966345,-0.460527472713279,-0.793787711180282,-0.443989203726471,0.0682139182649673,0.537170616253003,-0.120497461021603,-0.424934314640619,0.384036444870722
"A2BIM8, B5X0G2, P02762, P04938, P11588, P11589, P11591, Q5FW60",0.446576527974532,0.35994763723833,0.160078062663033,0.465836336791043,-0.586170996034786,-0.846267568632152,NA,NA,NA,NA,NA,NA
"A2BIM8, P02762, P04938, P11588, P11589",0.258623074621136,0.123864547665535,-0.123614227907872,0.0569934549888802,0.00441476051559908,-0.320281609883279,-0.889124567322274,-1.0749198483186,1.00725493681321,0.245809160445684,-0.311791479146379,1.02277179752835
"A3KGS3",-0.693317666970757,-0.825644108160095,-0.843433476569403,-0.932656449458754,1.55841585187442,1.73663584928459,NA,NA,NA,NA,NA,NA
"A6H690",0.320974977314747,-0.780335787721742,0.350026608141293,0.49985008043194,0.14109562833301,-0.531611506499247,NA,NA,NA,NA,NA,NA
"A6X935",0.402109509254952,-0.10456780114536,-0.124912053128334,-0.0639040808069895,-0.271824381733972,0.163098807559704,0.108161338695352,0.123681374123645,-0.209772269032448,0.138981854853176,-0.0689675137262284,-0.0920847849134958
"B2RSH2, P08752, P18872, P20612, P27600, P27601, P50149, P63094, Q3V3I2, Q6R0H7, Q8CGK7, Q9DC51",-0.0148289481993982,-0.261672261255363,-0.376973919618222,-0.365996316185594,0.419261420785749,0.600210024472828,-0.391308400655993,1.40103795067771,1.40705637936744,-0.206123282484659,-1.57610938328896,-0.63455326361553
"B2RSH2, P08752, Q9DC51",-1.22648807492257,-0.223975065031804,-0.236109244700817,-0.30832788546144,0.967087352649644,1.02781291746699,0.294990271720356,2.60652272967353,-1.37099023633307,0.155617490316607,-1.22198055545797,-0.464159699919457
